corporate_identification_number,company_name,registered_state,date,rank
U55209BR2020OPC045181,HARMALTI FOOD CHAIN (OPC) PRIVATELIMITED,Bihar,2020-01-27,5
U55209BR2020PTC045164,P-SAHI PALACE PRIVATE LIMITED,Bihar,2020-01-27,5
U36109BR2020OPC045176,RKDS FURNITURE MANUFACTURER (OPC)PRIVATE LIMITED,Bihar,2020-01-27,5
U36999BR2020OPC045179,AADARA FURNITURE AND FIXTURES CRAFTING(OPC) PRIVATE LIMITED,Bihar,2020-01-27,5
U67100BR2020PTC045185,ZERO INVESTMENT RESEARCH & HOLDINGPRIVATE LIMITED,Bihar,2020-01-27,5
U45309BR2020PTC045168,BELOVED INFRA CONSTRUCTION PRIVATELIMITED,Bihar,2020-01-27,5
U72900BR2020PTC045171,PRADHAN TECHSERVICES PRIVATE LIMITED,Bihar,2020-01-27,5
U72900BR2020PTC045172,AHEAD ONLINE IT SOLUTION PRIVATE LIMITED,Bihar,2020-01-27,5
U45500BR2020PTC045161,KUMAR CONTRACTORS AND CONSTRUCTIONPRIVATE LIMITED,Bihar,2020-01-27,5
U45500BR2020PTC045183,VISRO INFRA PROJECT PRIVATE LIMITED,Bihar,2020-01-27,5
U74994BR2020OPC045178,DDMK TAILOR (OPC) PRIVATE LIMITED,Bihar,2020-01-27,5
U74999BR2020OPC045177,PRABAS RICE MILL (OPC) PRIVATE LIMITED,Bihar,2020-01-27,5
U74999BR2020PTC045163,BISAL MULTISERVICES PRIVATE LIMITED,Bihar,2020-01-27,5
U74999BR2020PTC045166,SIYON SECURITY SERVICES PRIVATE LIMITED,Bihar,2020-01-27,5
U74999BR2020PTC045170,WHIM MUSIC PRIVATE LIMITED,Bihar,2020-01-27,5
U45309CH2020PTC042895,DESIGN4U DEVELOPERS AND PROMOTERSPRIVATE LIMITED,Chandigarh,2020-01-31,1
U92490CH2020PTC042894,BELLE SOUL ENTERTAINMENT PRIVATE LIMITED,Chandigarh,2020-01-30,2
U73100CH2020PTC042893,GREENLAB INITIATIVE PRIVATE LIMITED,Chandigarh,2020-01-30,2
U51420CH2020PTC042892,FORTUNA METALS PRIVATE LIMITED,Chandigarh,2020-01-28,3
U72900CH2020PTC042891,WIZE BRAINS IT SOLUTIONS PRIVATE LIMITED,Chandigarh,2020-01-28,3
U74999CH2020PTC042889,ALPHATHERMO POWERS PRIVATE LIMITED,Chandigarh,2020-01-28,3
U74999CH2020PTC042890,CONSTANS INFRABUILD PRIVATE LIMITED,Chandigarh,2020-01-28,3
U70109CH2020PTC042886,HOMECOMING BUILDERS AND PROMOTERSPRIVATE LIMITED,Chandigarh,2020-01-27,4
U72900CH2020PTC042887,FINITIANS PRIVATE LIMITED,Chandigarh,2020-01-27,4
U74999CH2020PTC042888,TECFIN BUSINESS SOLUTIONS PRIVATELIMITED,Chandigarh,2020-01-27,4
U24304CH2020PTC042885,BIOTRENDZ MEDICAMENT PRIVATE LIMITED,Chandigarh,2020-01-24,5
U72900CH2020PTC042884,BS SON'S ETC SERVICES PRIVATE LIMITED,Chandigarh,2020-01-24,5
U51505CT2020PTC009937,WEXLER POWER PRIVATE LIMITED,Chattisgarh,2020-01-31,1
U85300CT2020NPL009935,AROGYAVANDANA MEDICAL RESEARCHFOUNDATION,Chattisgarh,2020-01-31,1
U85300CT2020PTC009938,RSVS RESEARCH AND HOSPITALS PRIVATELIMITED,Chattisgarh,2020-01-31,1
U33209CT2020PTC009936,CALIDAD HEALTHCARE PRIVATE LIMITED,Chattisgarh,2020-01-31,1
